frame,location
../../data/fish/frames/00006.00005.jpg,[419.12379654 958.38246227]
../../data/fish/frames/00006.00006.jpg,[423.17123993 959.29242218]
../../data/fish/frames/00006.00007.jpg,[428.86390121 961.05578674]
../../data/fish/frames/00006.00008.jpg,[433.11511572 963.30571545]
../../data/fish/frames/00006.00009.jpg,[441.94394739 961.5763203 ]
../../data/fish/frames/00006.00010.jpg,[446.22822531 958.54341281]
../../data/fish/frames/00006.00011.jpg,[453.25384291 956.36765731]
../../data/fish/frames/00006.00012.jpg,[460.23051794 957.92027593]
../../data/fish/frames/00006.00013.jpg,[467.09837349 957.35123361]
../../data/fish/frames/00006.00014.jpg,[476.52517517 957.49287409]
../../data/fish/frames/00006.00015.jpg,[485.29707344 957.75160894]
../../data/fish/frames/00006.00016.jpg,[492.42810686 956.21510682]
../../data/fish/frames/00006.00017.jpg,[512.47079332 950.91303191]
../../data/fish/frames/00006.00018.jpg,[517.86098345 947.15170393]
../../data/fish/frames/00006.00019.jpg,[523.39634188 950.42585192]
../../data/fish/frames/00006.00020.jpg,[529.22199686 945.67868958]
../../data/fish/frames/00006.00021.jpg,[531.72922261 940.1705719 ]
../../data/fish/frames/00006.00022.jpg,[533.81855257 940.01412941]
../../data/fish/frames/00006.00023.jpg,[526.33980615 941.38201452]
../../data/fish/frames/00006.00024.jpg,[526.7334599  938.90838552]
../../data/fish/frames/00007.00000.jpg,[527.78273757 938.25853569]
../../data/fish/frames/00007.00001.jpg,[520.04566605 941.05314238]
../../data/fish/frames/00007.00002.jpg,[510.55781586 943.14342553]
../../data/fish/frames/00007.00003.jpg,[503.394224   944.20432014]
../../data/fish/frames/00007.00004.jpg,[500.86710174 943.78686366]
../../data/fish/frames/00007.00005.jpg,[493.40450771 949.02167783]
../../data/fish/frames/00007.00006.jpg,[483.5225106  949.89150868]
../../data/fish/frames/00007.00007.jpg,[466.08299263 953.55499945]
../../data/fish/frames/00007.00008.jpg,[449.54237564 958.74452267]
../../data/fish/frames/00007.00009.jpg,[436.96555336 959.42598829]
../../data/fish/frames/00007.00010.jpg,[411.95843132 966.78278837]
../../data/fish/frames/00007.00011.jpg,[411.88872583 967.36879883]
../../data/fish/frames/00007.00012.jpg,[421.81920011 969.79963503]
../../data/fish/frames/00007.00013.jpg,[424.6114796  970.32046924]
../../data/fish/frames/00007.00014.jpg,[434.4195164  966.89638743]
../../data/fish/frames/00007.00015.jpg,[434.31281406 962.07192311]
../../data/fish/frames/00007.00016.jpg,[437.61489875 960.68809948]
../../data/fish/frames/00007.00017.jpg,[443.7416001  960.90774118]
../../data/fish/frames/00007.00018.jpg,[455.86076934 963.01763617]
../../data/fish/frames/00007.00019.jpg,[463.17159564 961.48560249]
../../data/fish/frames/00007.00020.jpg,[469.06506164 961.11674511]
../../data/fish/frames/00007.00021.jpg,[473.65734965 958.15150916]
../../data/fish/frames/00007.00022.jpg,[478.698999   956.41637754]
../../data/fish/frames/00007.00023.jpg,[485.75435454 954.71381413]
../../data/fish/frames/00007.00024.jpg,[491.30178315 952.13355338]
../../data/fish/frames/00008.00000.jpg,[494.90141685 953.87642335]
../../data/fish/frames/00008.00001.jpg,[500.10992105 954.91826796]
../../data/fish/frames/00008.00002.jpg,[506.801457   954.83628279]
../../data/fish/frames/00008.00003.jpg,[515.14521367 953.39599985]
../../data/fish/frames/00008.00004.jpg,[515.23971558 945.31208795]
../../data/fish/frames/00008.00005.jpg,[519.1021266  940.17959112]
../../data/fish/frames/00008.00006.jpg,[524.44365501 941.18751365]
../../data/fish/frames/00008.00007.jpg,[527.21309018 942.97406107]
../../data/fish/frames/00008.00008.jpg,[534.51410222 946.5310722 ]
../../data/fish/frames/00008.00009.jpg,[538.26311064 944.65032619]
../../data/fish/frames/00008.00010.jpg,[544.1893158  943.43365616]
../../data/fish/frames/00008.00011.jpg,[546.89233327 941.46361238]
../../data/fish/frames/00008.00012.jpg,[547.97445452 940.72719437]
../../data/fish/frames/00008.00013.jpg,[547.59431034 942.35911328]
../../data/fish/frames/00008.00014.jpg,[544.90204841 942.55555211]
../../data/fish/frames/00008.00015.jpg,[544.63997221 942.61069135]
../../data/fish/frames/00008.00016.jpg,[543.24136484 940.61813096]
../../data/fish/frames/00008.00017.jpg,[540.79809678 940.57413857]
../../data/fish/frames/00008.00018.jpg,[538.04129064 941.3228011 ]
../../data/fish/frames/00008.00019.jpg,[532.06153762 942.01249628]
../../data/fish/frames/00008.00020.jpg,[525.45533121 942.78978233]
../../data/fish/frames/00008.00021.jpg,[521.74801624 945.64922171]
../../data/fish/frames/00008.00022.jpg,[516.68439615 946.57945441]
../../data/fish/frames/00008.00023.jpg,[508.29425943 949.55149029]
../../data/fish/frames/00008.00024.jpg,[498.08368242 952.44587992]
../../data/fish/frames/00009.00000.jpg,[491.17886674 954.49657415]
../../data/fish/frames/00009.00001.jpg,[482.02660787 957.77416514]
../../data/fish/frames/00009.00002.jpg,[473.87321985 958.27463387]
../../data/fish/frames/00009.00003.jpg,[465.70783842 957.91699346]
../../data/fish/frames/00009.00004.jpg,[460.04379499 957.98552649]
../../data/fish/frames/00009.00005.jpg,[452.99307096 958.92927991]
../../data/fish/frames/00009.00006.jpg,[447.87519443 960.99576484]
../../data/fish/frames/00009.00007.jpg,[455.21250665 963.09597074]
../../data/fish/frames/00009.00008.jpg,[464.324839   960.88826524]
../../data/fish/frames/00009.00009.jpg,[475.05081117 963.31541787]
../../data/fish/frames/00009.00010.jpg,[483.91383779 960.05819021]
../../data/fish/frames/00009.00011.jpg,[483.2314589  954.17704998]
../../data/fish/frames/00009.00012.jpg,[482.19194925 956.26412426]
../../data/fish/frames/00009.00013.jpg,[485.13553727 950.06741225]
../../data/fish/frames/00009.00014.jpg,[486.95132518 955.58181177]
../../data/fish/frames/00009.00015.jpg,[487.42310163 959.04033505]
../../data/fish/frames/00009.00016.jpg,[488.8323054  956.57761275]
../../data/fish/frames/00009.00017.jpg,[490.12679812 962.41925036]
../../data/fish/frames/00009.00018.jpg,[490.68632761 958.34038483]
../../data/fish/frames/00009.00019.jpg,[494.90555874 959.82234048]
../../data/fish/frames/00009.00020.jpg,[494.82516241 959.84345872]
../../data/fish/frames/00009.00021.jpg,[494.18200326 961.03494234]
../../data/fish/frames/00009.00022.jpg,[495.51901698 960.86333598]
../../data/fish/frames/00009.00023.jpg,[492.65151477 958.28762353]
../../data/fish/frames/00009.00024.jpg,[497.40342736 960.03461886]
../../data/fish/frames/00010.00000.jpg,[497.13177073 961.11376501]
../../data/fish/frames/00010.00001.jpg,[496.78562751 963.00029982]
../../data/fish/frames/00010.00002.jpg,[485.84986129 951.10565604]
../../data/fish/frames/00010.00003.jpg,[482.63298622 947.63086999]
../../data/fish/frames/00010.00004.jpg,[482.69899827 946.01500786]
../../data/fish/frames/00010.00005.jpg,[485.98279911 945.68313182]
../../data/fish/frames/00010.00006.jpg,[492.72487551 944.96807582]
../../data/fish/frames/00010.00007.jpg,[494.30939621 944.82486   ]
../../data/fish/frames/00010.00008.jpg,[499.40723556 941.25589409]
../../data/fish/frames/00010.00009.jpg,[503.81094497 939.10864701]
../../data/fish/frames/00010.00010.jpg,[517.92536205 940.00636515]
../../data/fish/frames/00010.00011.jpg,[529.17863506 944.3327001 ]
../../data/fish/frames/00010.00012.jpg,[535.16977733 946.30795463]
